sentiment,review_text
Negative,No commission or very minimal rewards
Negative,OT can be claimed but depends on line manager.
Positive,Have 7 days block leave every year to get away from work.
Negative,This comes with old system and SOPs as they prefer to reduce cost.
Negative, but need to push for sales.
Negative,the work is stress and if u can handle then you can work here
Negative,Try other company
Negative,A lot of paperwork to be done.
Negative,Chnage the commisioning structure without prior notice.
Positive,"Good colleagues at the branches , bad management."
Negative,No wfh.
Negative,slow increment and promotion.
Positive,having shift rotation
Positive,Fix increment yearly
Negative,"Fast paced, great opportunity but no career growth"
Positive,Nothing stressful for me.
Positive,Always ways for improvement.
Negative,They would claw back 20% of the comm and only give it to u after 1 year.
Negative,Everything is about selling
Positive,Maternity leave six months.
Negative,Management will be depends on your manager
Positive,"Among colleagues ok, "
Negative,however I will say otherwise for my current supervisor
Positive,Working environment can be improved.
Negative,but high volume
Negative,"Maybe it's just this branch do not have much OT, normally we back at 6pm."
Negative,Wednesday because every Wednesday is a briefing day
Negative,Experience Raw Adulting
Negative,banking industry but in retail culture
Negative,those fresh graduate who want to work here need to have strong physical and mental to sustain in a long run.
Negative,"Going back at 10 pm is normal, 7 pm is the earliest time to go home, weekend sometimes need to work also"
Positive,Salary was on par on the position applied.
Positive,prepare monthly reporting tasks and mostly does market research.
Negative,"Corporate style with multiple hierarchy, you get to survive if you have a strong mentality to cope stress."
Positive,No complaint.
Negative,"The 1-month training class might not be enough, the notes you can't gather from outside of class."
Negative,You have to be âpandai bodekâ bos for better career enhancement.
Negative,Doesnt mean next quarter are the same even u achieved 100% kpi.
Negative,You need to achieved all the monthly target so you can stay respected.
Positive,Flexi working hours.
Positive,24 days of annual leave.
Negative,"During bonus and increment cycles, staff handling only BAU tasks often receive higher total compensation than those who take on additional responsibilities."
Positive,"Although, some of the reviewer said that the employee's benefits are below the industry benchmarking, but I can see that the Management has been working to improve it accordingly."
Negative,"Learning environment , need cope with the stress of hitting sales target, multi-tasking is needed."
Negative,But the salary is a bit low for the fresh grade in order to compare with others banking company
Negative,they can be crazy to meet up their kpi.
Positive,So much to learn here.
Negative, but slow pace.
Negative,Multitasking and workload
Negative,"But be ready to work long hours, as it is the norm here."
Negative,"management is not helping,"
Positive, but colleague all okay and supportive.
Negative,Even top performer is hard to secure a permanent position.
Positive,Annual leave a lot
Negative,"This one is supposed to be okay, but if you need them and they don't entertain willingly, definitely that will let you down."
Negative,Sometimes they just recycle the leads to call the same customer.
Positive,"Cross-Functional Collaboration: While encouraged, it may face occasional resistance due to siloed structures."
Negative,"However, incentives are not transparent."
Positive,Just that work will be stressful but manageable with good working colleagues.
Positive,"Workload is manageable, although at times it can be quite heavy."
Negative,"I learnt a lot during my time in CIMB, however the KPI target just keep getting higher and you need to work harder to achieve the KPI."
Positive,Management don't come to you and shouting for target.
Negative,But for the target that we need to carry tgter with incentive scheme need to revise
Positive,Overall is okay
Negative,No OT given but they ask you to do OT.
Negative,"As a fresh grad I thought would capable to learn something , "
Negative,Will be more compliance compare to other banks Management keeps chasing the target
Positive,Bonus can be down to 2 months But usually is 3 months.
Negative,no one hlp when things happened
Negative,No clear goal setup by my immediate manager.
Negative,"Please digitalize the processes in credit as the bank is outdated in this expect, please look at other competitors."
Negative,"A typical day was fast-paced, handling high volumes of customer issues with tight performance targets."
Positive,Free hospitalisation.
Positive,The environment was okay.
Positive,"I then focus on my core responsibilities handling assigned tasks, resolving issues, and supporting ongoing projects."
Positive,"They'll teach you the basics, provided training and little knowledge."
Negative,Turn based style promotions.
Negative,'- Daily job may be repetitive (depends on the team you are on)
Negative,Challenging in the sense of multitasking and sales targets to meet.
Negative,Very Chinese man and traditional way of approaching work.
Positive,Because they are paying commission if you hit the monthly target.
Negative,Had to self-learn everything.
Positive,alot things can discover.
Negative,"have to do multitasking task , work long hours sometimes to work over the weekend."
Positive,Have AL every month.
Negative,Remuneration not as expectation
Negative,No much time to have a talk with colleague due to call que most of the time.
Positive,But if you want to go for a reasonable and just normal job free of mind can go to here
Positive,Overall ok
Positive,Can choose wfh which day in a week.
Negative,"While there are some positives, such as a supportive team and a convenient location, the overall experience has been marred by significant shortcomings."
Positive,Salary is reasonable
Negative,but now they dont even care
Negative,"OK, but not much career growth."
Positive,Overall not bad.
Positive,Not bad environment
Positive,BUT an opportunity to also learn about banking systems and its SOPs?
Negative,"My mentor even asked me to cancel my annual leaves to complete my workloads, and my mentor asked me to complete my workloads during my annual leaves, weekends and public holiday despite unrealistic goals set by the boss and the team."
Negative,The quiet ones but really great working attitude tends to be left out n teased upon.
Positive,Not bad
Negative,Normal working hours but beed to work weekends with no overtime pay at all.
Negative,", all depend on your luck."
Negative,But old system
Negative,"Moderate work load, not So much benefit , "
Positive,Provide a lot of training to new joiner.
Negative,Don't expect ot claim.
Positive,"Pay commission quarterly, if u got certain amount on this quarter."
Negative,"Old working system, old office."
Negative,Superiors claim credit for your work
Positive,I worked here before and the work load is quite ok and bearable.
Negative,"First of all, the position is quite hardcore."
Negative,Uncertain commission
Negative,"My teammate are amazing, but the manager I am under eventually started micromanaging."
Positive,Hybrid working.
Positive,Benefit overall ok.
Negative,Prospective employees should carefully weigh these factors before considering employment here..
Positive,Fun work environment but challenging
Negative,No option for you to reject.
Positive,Learn a lot from the seniors & no politics in the office as well.
Negative,You can choose to claim OT as well at the end of the shift to submit the SR but extra works that you have to get validation from your OICs or TM.
Negative,Progression Limited
Positive,The environment is not bad.
Positive,Salary is high for fresh graduate but with high salary comes with high risk as well
Positive,Clear object
Negative,"Whenever I had a problem in my works, they asked me to solve it myself."
Positive,harmony workplace
Negative,Learn to work independently.
Negative,No OT and working in every public holiday since working as sales consultant
Negative,"Workplace culture, lots of overseas worker than local and overtime almost everyday."
Positive,They call u right after seeing ur resume
Negative,Commisions are ok but lower than other banks.
Negative,The working pace in a banking sector is vibrant and demanding hence there are rigorous regulatory reportings have to be made.
Positive,"Does offer hybrid working style, imcludes activities like townhall, learning week, team building, and upskilling depending on the department."
Positive,"Ok lah, so far so good lol Canât say too hard also canât say easily All overall is medium only,"
Negative,Office is old.
Negative,"No benefits, 8 months contract with total of 16 annual leave."
Negative,"The management is on another whole different level, they tend to stick with the paper based era whereas people are going towards technologies."
Negative,donât put too high expectations on banking line industry
Negative,Slow operating system.
Positive,Workload OK depending on the team and bosses.
Negative,dont mind if u being diaturb at weekend especially hire purchase dept.
Positive,"There were a lot of event being held at Menara Maybank for the seasonal events, such as Chinese New Year and Christmas."
Negative,"Favoritism from both leadership and HRBP influences career growth, resulting in the same individuals receiving promotions every 2â3 years, while others are overlooked."
Negative,Need to relief ppl a lot if u are from branch.
Positive,There are fixed two months annual bonus and at least one month performance bonus.
Negative,"Sales could be challenging here, as the products are not really competitive."
Negative,but do not become protege or join programme
Negative,"Also, please give ample time to catch up and get used to the systems even though OIC might not assist you many times."
Positive,I miss my teamates so much.
Negative,"OICs might be helping you but they will expect you to work independently, and catch up so fast."
Positive,Everyday supply of snacks in the pantry.
Positive,Enjoyable
Negative,It was a busy 
Negative,Expect long working hours.
Positive,Stability is there just that need to work hard and sometimes luck.
Positive,My internship experience was okay overall.
Negative,You are expected to go beyond ur KPI.
Negative,Management practice favouritism
Positive,EPF benefits.
Negative,"Sometimes, they might get irritated when you ask twice because they think they already explained thousands of times."
Negative,but low pay basic salary
Negative,Always overtime
Negative,Need to do a lot of OT but intern/trainee did not get paid OT.
Negative,tracker in place to track everyoneâs task.
Negative,They take their time to answer my question.
Negative,Need to achieve a high kpi with changing directions from upper management.
Positive,It's the largest bank in malaysia.
Negative,Expect one hour talk to persuade you work hard.
Negative,Pushes us to the limit but suddenly change the comissioning structure
Positive,Can learn something
Positive,Benefits: - Basic salary meets the market range.
Negative,"Company got a lot of profit every year, must increase salary & also the cost living there very high."
Positive,Freestyle working environment.
Negative,"in term of management, they want feedback but doesnt improve ."
Negative,None pros factor
Positive,"While it is a stable organization, "
Positive,You will learn how to manage your time management skills.
Positive,No OT Overall not bad
Positive,Overall good.
Positive,Summary Overall quite good
Negative,sales target is too high and management will push you to hit every month.
Negative,Require staffs to stay back but wont pay for overtime
Negative,Traditional & change-averse company
Negative,You have to give full commitment to this organisation even in weekend especially when you are involve in marketing scope.
Negative, although there will be some bad apples (which can be found in any company tbh)
Negative,Comprehensive benefits with concerns over operational balance and promotion fairness
Negative,stress if there is any accidental mistake that we didn't notice and need to re do whole thing.
Negative,"In the spend of 6 months, the company had change its guidelines 4 times which effect the sales department heavily."
Negative,High expectation and workload
Positive,You will think a lot of time if you want to resign because of the benefits
Positive,"Fun and good, environment is OK."
Negative,Not many clients will prefer rhb.
Positive,It was good.
Negative,low increament
Negative,"Systems are fine except I only encounter difficulties with R*W**, it needs to be redesigned to a friendlier interface at least for those agents."
Positive,Monetary benefits is fine 
Negative,Need to stay back without paying OT.
Positive, flexible and relax environment 
Positive,Opportunity to learn a lot however i was hired as a outsourcing staff.
Positive,The commission given is quite higher than another bank.
Positive,Have graduate and certification if pass the exam and roleplay
Negative,Facing challenges to deal with current systems and process.
Positive,but can learn a lot of knowledge
Negative,Some employees in the IT department work in a semi-basement that doesn't see a lot of sunlight during the day.
Negative,Good to try as probation only hahaha.
Negative,"Need to review the benefits structure, transparency of promotion"
Positive,typical day at work is ok .
Positive,"KPI is very agile, adjustable."
Positive,some department are more flexible.
Negative,learned nothing
Negative,"However, team is very lean, therefore it can be stressful at times and things are fast paced."
Positive,flexible lunch time
Positive,Good for beginner
Positive,Benefits/Salary for fresh graduates/ OT claims
Negative,Long hours
Negative,but the workload will be more than expected due to manpower shortages.
Positive,Fun mix stress
Negative,less guidance
Negative,Not many incentive for protege.
Positive,Top 5 largest Bank in Malaysia
Negative,I hope for a better insurance benefit for dependents & salary base.
Positive,"Outpatient, dental, optical, health check-up coverage, travelling claim"
Positive,So far so good.
Positive,Mon - Fri Friendly environment 
Positive,Bonus could be up to 3-4 months in general.
Negative,but the basic salary that this company offer was to low.
Negative,"Like most banks, the workload can be overwhelming, with employees often expected to handle multiple responsibilities, tight deadlines, and high-performance targets."
Negative,Had to leave after 1 year contract.
Positive,Profesional Environment
Negative,Frequent re-org/rorg restructuring due to change to the top management
Negative,No flexible working hours and no remote.
Positive,Easy to apply.
Positive,Overall I think my pay are decent while workload and working culture depends on your department.
Positive,Can learn something from pb and make it as you stepping stone
Negative,Not much diversity as well.
Positive,"Department-dependent, decent experience"
Positive,"Working environment ok, "
Negative,Benefits were below average.
Negative,but overload with work
Negative,work-life balance Don't even think about it.
Positive,Can learn alot of financial knowledge and pitching skill.
Negative,"Overall the management and the way they handle the process of everything is super old school, they still have typewriters to write on vouchers."
Positive,"While the salary structure varies based on the position and level of experience, public bank employees typically enjoy competitive pay scales that are often revised based on recommendations from government pay commissions."
Positive,"Additionally, public bank employees often have more structured career paths, including promotional avenues that lead to higher pay grades and responsibilities."
Negative,"If you need to a higher career development and lots benefits, can option with other company."
Positive,"This allows staff and trainees to understand the full hire purchase financing cycle, particularly for vehicle loans."
Positive,Location is strategic.
Positive,Try banking if you love doing sales.
Negative,Wished I check glassdoor reviews before joining.
Negative, despite the lack of support.
Negative,'- I always saw my colleagues were always working during their annual leaves and weekends in the office for the whole day due to strict deadlines set by ISO regulations
Negative,"However, there are significant challenges regarding work-life balance, particularly in operations where the workload is often overwhelming."
Negative,As usual stress to get year enda target met.
Negative,Need to always on standby mode.
Negative,'-No guidance given to newbies
Negative,A good place to start but in term of job culture is slight disappointing
Positive,"However, staff benefits are generally better than other banks."
Negative,System part a bit outdated as time consuming is a concern.
Negative,Working hour not flexible.
Positive,"That being said, you get to learn a great deal about mortgages, banking and lending."
Positive,"Day to day work very easy, but need to be careful due to working with money after all."
Positive,Everything is good.
Negative,Initiatives for better working environment should be implimented.
Negative,Very restricted working environment.
Negative,"Highly sales oriented culture, performance measurement more focus on individual contributor, event for non sales staff"
Positive,"Discounted rate for company cafeteria, tentative work from home policy, learning programme"
Positive,"overall not bad, training provided, attractive remuneration package"
Positive,ok to work
Negative,Office politics
Negative,KPI hard to achieve but once achieved the feeling cannot be described.
Negative,"Have a good company but not a good superior, learned a lot from senior and also from other tribe ."
Negative,"But in sale, have to deal with a lot of pressure."
Negative,Ended up working 12 hours most days and weekends too.
Positive,but got good colleagues that can help from time to time.
Negative,They tends to talk to you politely and keep nagging to work hard.
Positive,computer provided allowance high and also have training to build intern knowledge to enter work enviroment
Positive,"Other than that, it train your multitasking skill as well"
Negative,"Long working hours are common, particularly in departments such as sales, credit analysis, and customer service."
Positive,Overall fine to work in bank under sales department.
Positive,The culture can be improved with good leader and cooperation.
Positive,Fair salary for fresh
Positive,Good for beginners
Positive,Good for stable life.
Negative,However they just simply terminated all the contract staff without notice
Positive,Staff got a lot of AL
Negative,the only things is difficult to get reffaller for small branches
Negative, but not appreciating protege or graduate lvl.
Positive,If you fresh graduate and want to learn a new skill.
Positive,Enjoyable in term of benefit and good friends.
Positive,"The enviroment is chill, collegues are kind and are willing to assist if faced with issues."
Positive,"Good team, but salary to low at airport"
Positive,Overall it was a nice company to working with.
Positive,"However, remuneration package is good."
Negative,Not support newcommer.
Negative,Always pass the job back to you
Negative,Luckily teamwork is awesome but can't say the same about the manager and salary.
Positive,"While there were challenges along the way, the positives outweighed the negatives."
Negative,"It is not wrong to use the offer contract thru agency but if the employee already work more than 1 year with a good results, offer them permanent position."
Negative,Hard to streamline processes to avoid manual work.
Negative,"Ok ok , not so good for sales target, always pressure about target from upper management ,for trying is ok but for long term is not suitable because based on target"
Positive,"As entry level, this is a good starter."
Positive,Good for stable life
Negative,Turnover rate is high.
Positive,They easily hire fresh grad.
Negative,Not supportive manager.
Negative,"High targets, but performance not fairly recognised."
Negative,There's this lecturing session which top management will come down and have a meeting with all sales employees at one of the branch.
Positive,Good experience
Positive,Overall is a good oppertunity for an internship placement.
Negative,They have too much power and no one can question them.
Positive,Good Workplace but Overload Task
Positive,"Open to feedback, work life balance culture, slow increment and promotion."
Positive,Top 4 Local Bank in Malaysia
Negative,long working hours n no wfh
Positive,Overall its a great place to learn.
Negative,Long working hours
Negative,Long working hours
Positive,Good workplace overall
Negative,however lack of guidance and training provided.
Negative,Expected to OT everday and even on weekends without getting paid OT.
Negative,Turnover rate is quite high
Positive,Environment was good.
Positive,A lot people that you can meet.
Negative,No standard guidelines can follow (not sure whether is the manager itself problem).
Negative,It was hectic working.
Positive,"Clearer, fairer systems would build more trust and motivation among the team."
Positive,Structured training is provided as well.
Negative,Work pace is slow at my team
Negative,Need to stay back without pay OT.
Positive,Benefit is good.
Positive,training by professional team
Positive,Learn a lot
Positive,"Overall, everyone feel welcome."
Positive,Flexible hybrid
Positive,Have allowance and good medical insurance
Negative,"Agile title but with old mindset, spent too much customization on legacy system instead of determine to revamp it"
Positive,Can learn lot of new things and how to solve it.
Positive,Colleague helpful.
Negative,Salary below market average
Positive,"Honestly the people in my team are nice,"
Positive,management is competent.
Negative,"The recent acquisition of Citiâs business appears to have been poorly managed, leading to a hiring freeze post-merger."
Positive,"Other than that, good benefits and bonus"
Positive,Staff benefits
Positive,Able to learn about market
Negative,Good working enviroment but no promotion.
Positive,Unlimited medical coverage
Positive,Fast paced environment
Negative,Management level is rigid and has no one to one communication.
Positive,Training is provided which is help in jobscope.
Negative,"If want to explore, have to be mentally prepared with unnecessary approvals, overprocess of workflow for the sake of governance and fairly decaded legacy system that is counterproductive and isn't align with the latest development of technology(Datalake, Big Data, OCR, Robotic, AI, Chatgpt) ."
Negative,You will learn how to âtai-chiâ in this company.
Negative,I heard it is different now but despised the cult-like annual dinners.
Positive,"It really depends on which department youâre placed inâif you end up in the right one, itâs easier to fit in and thereâs a better chance of getting absorbed into the company."
Positive,Flexible working hours.
Positive, but the management and team support made it manageable.
Negative,Eg is your ot.
Positive,good experience
Negative,High turnover rate and role was not as described.
Negative,Environment limits you from learning new stuff
Negative,If you lucky then u can get a nice TL to work with.
Positive,"As a protege, the workload is quite ok as it can definitely give you a work-life balance."
Positive,Good Company 
Negative,"While it is understandable that the bank must demonstrate profitability to shareholders, it is crucial to acknowledge the efforts of employees who drive this success."
Positive,Everyone helps each other.
Positive,"The interview process was nice tho, the hr seems professional."
Positive,Branch manager and regional manager always push you to achieve the monthly target.
Positive,Salary and the benefits.
Positive,Humanity and harmony environment
Positive,Many other benefits for claim as well and
Positive,Unlimited health benefits.
Positive,Friendly colleagues
Positive,Personal growth through self-initiative.
Positive,"Networking: Connect with professionals in the banking industry, which can be beneficial for future career opportunities."
Positive,The environment is good.
Negative,"Colleagues are nice, some team leaders aren't helpful at all and will look down on you if you don't know certain things."
Positive,"Salary, benefits"
Negative,"But for working environment, quiet tough."
Positive,Good company
Negative,"Despite implementing 360-degree feedback and the Employee Engagement Survey (EES), employee concerns remain unaddressed."
Negative,Some team leaders might not be helpful to the team.
Positive,The salary pay on time.
Positive,"Working here you will have a flexible working hours, hybrid working (3 days office, 2 days WFH) depends on the department mostly Digital IT."
Positive,"In addition to the fixed salary, public bank employees also receive additional perks like medical benefits, pension schemes, and paid leave."
Negative,"Most of my time was spent on repetitive, low-impact assignments that didnât contribute much to my growth or understanding of the banking sector."
Positive,company willing to provide training to staffs to help us to development softskills
Positive,Overall good sales
Positive,"Environment is okay, surrounded by coworker that help in so many thing."
Positive,The colleagues are friendly.
Negative,There is a noticeable absence of structured programs or support for advancing one's skills and career within the company.
Positive,Good environment
Negative,the company only side customer as they sacred in trouble
Positive,Freedom to be creative and develop solutions as long as itâs aligned with the bankâs values
Positive,Your daily tasks may help you to improve how to utilize them.
Positive,"During my internship at Bank Rakyat, I had the opportunity to gain practical experience in one of Malaysia's leading cooperative banks."
Positive,Benefit: - Medical for self & family.
Negative,Should focus on tech such as fill up form online instead of using paper
Positive,"Overall ok, management ok, benefits ok, paid on time , supportive team, good bank, good allowance, good salary, good benefits, good system, treat us fairly ,"
Negative,"Additionally, top management often feels disconnected from ground-level operational reality."
Negative,but not a Good Division
Positive,"Besides the steep learning curve, I had the opportunity to learn from very capable colleagues."
Positive,Flexible working hour
Negative,Your colleagues will punish you with extra workloads if you didn't complete their KPI (number of cases to be completed per day)
Negative,the compensation-to-effort ratio and career progression transparency need improvement.
Positive,Learning Experience: Gain a deep understanding of Islamic finance principles and practices.
Negative,Intense pressure & high expectations.
Positive,"The management team is generally understanding and open to feedback, creating a comfortable space to discuss challenges and improvements."
Positive,Salary was higher than average.
Negative,Lack increment and bonus.
Positive,Overall internship experience was good.
Negative,Too many task appointed with very low salary.
Positive,But bonus is pretty good around 6 months
Negative,but poor management
Positive,"Public Bank is known for its structured work culture, and employees who can adapt to its disciplined and customer-focused approach tend to succeed."
Positive,Plenty of trainings for sales staff 
Positive,but luckily managers are good.
Negative,"Spent a lot of time for manual activities due to reluctant to invest a new system, continue waste money for customization on incompetent system which only safeguard vendor evergreen businesses."
Positive,Okay place to work at
Positive,Flexible working mode
Negative,Management doesn't care about you.
Positive,"Good experience, steep learning curve."
Negative,"If you have experiences, try somewhere else"
Positive,Good friendship
Negative,"But, - paperwork overload"
Positive,Fast Pace
Positive,but don't worry because your colleagues will help you anyway when you need it.
Negative,Workload is heavy 
Positive,Sufficient AL provided.
Positive,Good benefit
Positive,Flex care provided with more than 10 categories claimable
Positive,"Got gym, game room, hot desking must book desk so can choose desk wherever u want to sit"
Positive,but good colleagues
Negative,The company doesn't care for the sales people period.
Negative,Leads not approachable.
Positive,good mood always
Negative,workload is always alot unless during low season
Positive,"Many facilities provided, gym, game room etc workloads r manageable"
Positive,Benefit wise and working like servant.
Negative,Management will keep pushing for sales even though the product is not great and detrimental to buyers.
Negative,"I interned at CIMB Bank hoping for a dynamic learning experience, but overall, it fell short of expectations."
Negative,"No increment, not offered as permanent position even though work more than 3years, low benefit."
Negative,"However, for my department, it is actually quite boring as all you do is data entry for the whole day, the learning curve is quite limited, you wont learn much if you fulfill the contract."
Negative,To much target to be achieved and ridiculous sales KPI.
Positive,"Despite the occasional stress, the knowledge gained in the field of financing was immense."
Positive,Annual leaves and Mc good
Negative,"Can say very stressful heavy workload, "
Positive,Pbb is good to learn various things.
Negative,Not welcoming the newcomers.
Positive,The trust is given by allowing you to empower the action to complete your work & you are able to work from home.
Negative,Try to test your limit in this environment of long working hours and extensive work load.
Positive,but is very good to learn a new things 
Positive,Strategic location.
Negative,I learn that my current manager only know how to talk .
Negative,"Its a fast pace environment, we start to move in saleâs instead of solely giving service and it become challenging to reaching target every month."
Positive,Manager will guide you A to Z.
Negative,'- can be very stress if you can't hit the sales target
Positive,Team members are good.
Negative,Gap between newbie and managers
Negative,Challenging enviroment
Positive,An All-rounder benefits kind of company.
Negative,bad operating system
Positive," overall, it's a good place to work"
Positive,"Things can get a bit hectic during system changes, but overall itâs a valuable and enjoyable learning experience."
Positive,Will find a good friend.
Positive,Colleague is all nice
Positive,"However, boss was very kind and always help to guide me"
Positive,Learnt a lot of stuff during my period.
Negative,culture not so good
Positive,Strategic working location
Negative,Subpar bonuses
Positive,"A typical day is fast-paced, full of learning opportunities."
Positive,Good Experience
Negative,but management is poor.
Negative,"However, the manangement keeps pushing figure which could make people feel stressful and also almost ot everyday."
Positive,Got good
Negative,They will pressuring you until you resigned on your own.
Negative,Busy and stressful sometimes 
Positive,Colleague are nice.
Negative,HR and HQ is ok but current manager is toxic .
Positive,"With a fast-moving performance-based work culture, I was trained to work smart, fast and deliver work accurately."
Positive,"The salary in public banks may not be as high as in private sector banks initially, but the long-term financial security, work-life balance, and other benefits make public banks a desirable option for many."
Positive,Great for beginners
Negative,Sometimes hard to dealing with customers.
Positive,Good place to start for fresh graduates but long working hours.
Positive,overall good in term of medical benefits.
Positive,"A typical day is dynamic and fast-moving, with everyone focused and efficient."
Negative,"Furthermore, opportunities for career development are scarce."
Negative,Regardless they might rant because they are having difficulties.
Positive,hope to get a permanent job at maybank
Positive,Productive and task was manageable
Positive,"fun environment, less toxic, but not all workplace is perfect, so a little imperfections is acceptable."
Negative,but the kpi is too high for even for staff thats in under probation.
Positive,Benefits is quite good
Positive,They provided staff engagement event and activities 
Negative,"Either listen to rants and do your job, or just put them on hold to submit the SR, both have been practiced there."
Positive,Good place and suitable for a starter or fresh graduate.
Positive,"but offer a high salary, 24 AL, medical coverage, and a bonus."
Negative,"KPI too high,"
Negative,A bit challenging
Positive,"Overall, it provides a valuable experience for fresh graduates to develop their skills and grow their careers"
Negative,"but somehow i found some of workers loves to overdressed and indifference dress etiquette, also give a bad impression to the company."
Positive,Best to work with colleagues.
Negative,"When ask, always ends up with more question than answers"
Positive,Perfect for learning
Negative,HQ management and HQ support not enough 
Positive,"Overall, it is a great place to build a strong career foundation."
Positive,Good friend
Positive,"But rest assured, if you have REALLY good support and fun colleagues, you actually can survive."
Negative,but your should depend by yourself because nobody will no help your because everyone is busy
Positive,"Was placed in a consumer banking team, which I find quite it quite chilling when I was looking for a more intense role."
Positive,High Salary
Negative,"However, there is no work life balance that may make you exhausted."
Negative,The pressure unbelievable.
Negative,but the downside is only that they make changes very often and immediate.. too many task to handle at one time..
Positive,"you'll learn more about it here at pb, staff are friendly"
Positive,Learn a lot from them.
Positive,"OCBC is a stable, growth-oriented bank that values people and innovation."
Positive,The increment is above average and bonuses are decent.
Positive,"If you adapt to it, you can excel in many workplaces."
Positive,You can learn a lot from the team.
Negative,"Didnt work here, but got the chances to be interviewed but unfortunately, it didnt goes really well."
Positive,One of the key factors that can make the experience more enjoyable is having supportive and competent teammates.
Negative,"The lunch break is on 45 minutes, short break applicable only 15 minutes, the management self-absorbed"
Negative,High kpi with fast pace
Positive,The challenges helped me build resilience and improve my time management skills.
Positive,Good team
Positive,Fun place
Positive,Able to learn a lot of valuable knowledges of how bank operations works on daily basis.
Positive,"Having teatime among us, celebration birthday and also we will do decorations for all the festivals..."
Negative,Need to stay too long in office.
Negative,The hardest part will working hours after office hours and will always stayed late
Positive,"Every day was focused on serving clients, achieving sales goals, and supporting the team."
Positive,PB offer a lot of benefits compared to any other company.
Positive,Bosses are good.
Positive,Good place to learn
Positive,Good opportunity to learn
Positive,Professional Development: Opportunities for skill-building through workshops and mentorship.
Negative,"Since 2021, the bonus payouts (averaging 2 months) have not felt commensurate with the level of effort required."
Negative,very political culture
Negative,some people do not want to work but want to get credit of other peoples' works.
Positive,The allowance are great.
Positive,I learned a lot from here as we need to work as a team to ensure to move forward and excel together
Negative,Hardest part: tight deadlines.
Positive,He/she will guide you from zero to something
Positive,"While expectations are high, it encourages resilience and strong work ethics."
Negative,I think it's too chaotic and tedious.
Negative,But too much paperwork and need to work until 8pm everyday due to culture.
Negative,High pay with great benefits but expect to work a lot
Positive,"The work processes are quite organized, which helps in managing tasks efficiently."
Positive,However good environment and supportive team members
Positive,"At branch, meet customer and give best service to customer"
Positive,good environment
Positive,Training is provided which is help a lot in job scope.
